"date","jpy_per_usd","twd_per_usd","twd_per_jpy","log_return_twd_per_jpy"
2020-05-22,107.5,30.08,0.279813953488372,0.00743350821285449
2020-05-25,,,,
2020-05-26,107.64,29.97,0.278428093645485,
2020-05-27,107.79,30.04,0.278690045458762,0.000940381632529963
2020-05-28,107.67,29.97,0.278350515463918,-0.00121904960145036
2020-05-29,107.77,30.01,0.278463394265566,0.000405445342589239
2020-06-01,107.56,29.91,0.27807735217553,-0.00138729160234297
2020-06-02,108.6,29.91,0.275414364640884,-0.00962257609917105
2020-06-03,108.88,29.88,0.27443056576047,-0.0035784632206155
2020-06-04,109,29.9,0.274311926605505,-0.000432403753908961
2020-06-05,109.68,29.78,0.271517140773158,-0.0102406061656932
2020-06-08,108.46,29.75,0.274294670846395,0.0101776985769204
2020-06-09,107.66,29.68,0.275682704811443,0.00504761458764413
2020-06-10,107.25,29.54,0.275431235431235,-0.000912585871261085
2020-06-11,106.67,29.65,0.277960063748008,0.00913944951123558
2020-06-12,107.36,29.63,0.275987332339791,-0.00712248044424069
2020-06-15,107.33,29.67,0.27643715643343,0.00162854544719537
2020-06-16,107.35,29.65,0.27619934792734,-0.00086063269035308
2020-06-17,107.26,29.64,0.276337870594816,0.000501405754162576
2020-06-18,106.78,29.59,0.277111818692639,0.00279681646697094
2020-06-19,106.89,29.59,0.276826644213678,-0.00102962521381422
2020-06-22,106.84,29.6,0.277049794084612,0.000805774961990746
2020-06-23,106.44,29.54,0.277527245396468,0.00172185790549073
2020-06-24,106.83,29.52,0.276326874473462,-0.00433461721926953
2020-06-25,107.21,29.52,0.275347448932003,-0.00355074191035221
2020-06-26,107.19,29.51,0.275305532232484,-0.000152243612703495
2020-06-29,107.71,29.45,0.273419366818308,-0.00687474851650305
2020-06-30,107.77,29.44,0.273174352788346,-0.000896512482981837
2020-07-01,107.5,29.43,0.273767441860465,0.00216874742572859
2020-07-02,107.55,29.45,0.273826127382613,0.00021433970619289
2020-07-03,,,,
2020-07-06,107.5,29.4,0.273488372093023,
2020-07-07,107.53,29.45,0.273877057565331,0.00142020491824235
2020-07-08,107.39,29.43,0.274047862929509,0.00062346268009561
2020-07-09,107.27,29.42,0.274261210030764,0.000778200188697342
2020-07-10,106.77,29.45,0.275826543036433,0.00569122734343086
2020-07-13,107.22,29.42,0.27438910650998,-0.00522500513348478
2020-07-14,107.2,29.45,0.274720149253731,0.00120574468699419
2020-07-15,106.92,29.5,0.275907220351665,0.00431171061416191
2020-07-16,107.05,29.44,0.275011676786548,-0.00325109325007222
2020-07-17,107.06,29.46,0.275172800298898,0.00058570724426521
2020-07-20,107.21,29.45,0.274694524764481,-0.00173960383980165
2020-07-21,106.82,29.4,0.275229357798165,0.00194511720356449
2020-07-22,107.18,29.41,0.274398208621011,-0.00302441093381223
2020-07-23,106.83,29.41,0.275297201160723,0.00327087810890814
2020-07-24,105.79,29.45,0.278381699593534,0.0111419464908047
2020-07-27,105.29,29.31,0.27837401462627,-2.76062447794878e-05
2020-07-28,105.03,29.3,0.278967913929353,0.00213118553420455
2020-07-29,105.06,29.26,0.278507519512659,-0.00165171232217465
2020-07-30,105.05,29.32,0.279105188005712,0.00214366966127866
2020-07-31,105.78,29.34,0.277368122518434,-0.00624314265043968
2020-08-03,106.11,29.35,0.276599754971256,-0.00277405268839526
2020-08-04,105.87,29.38,0.277510153962407,0.00328599000183627
2020-08-05,105.44,29.34,0.278262518968134,0.00270745757019575
2020-08-06,105.52,29.37,0.278335860500379,0.000263534840831081
2020-08-07,105.92,29.39,0.277473564954683,-0.00310284855934162
2020-08-10,105.85,29.39,0.277657061880019,0.000661094607824042
2020-08-11,106.56,29.39,0.275807057057057,-0.00668520921120508
2020-08-12,106.85,29.37,0.274871314927468,-0.00339851019337489
2020-08-13,106.89,29.43,0.275329778276733,0.001666530514155
2020-08-14,106.49,29.38,0.275894450183116,0.0020487927589119
2020-08-17,105.97,29.38,0.277248277814476,0.0048950488405477
2020-08-18,105.41,29.39,0.278816051608007,0.00563883660474152
2020-08-19,105.71,29.37,0.27783558792924,-0.00352272273377108
2020-08-20,105.81,29.42,0.278045553350345,0.000755432827264091
2020-08-21,105.88,29.4,0.277672837174159,-0.00134138527148586
2020-08-24,105.9,29.38,0.277431539187913,-0.000869378847365043
2020-08-25,106.4,29.38,0.276127819548872,-0.00471032430018314
2020-08-26,106.13,29.34,0.276453406199943,0.00117842110291733
2020-08-27,106.42,29.36,0.275887990979139,-0.00204734036301302
2020-08-28,105.3,29.34,0.278632478632479,0.00989867899681451
2020-08-31,105.84,29.37,0.27749433106576,-0.00409312817107743
2020-09-01,106,29.36,0.276981132075472,-0.00185111576958086
2020-09-02,106.15,29.36,0.276589731512011,-0.00141409403719805
2020-09-03,106.14,29.35,0.276521575277935,-0.000246446722693028
2020-09-04,106.34,29.32,0.275719390633816,-0.00290519993209837
2020-09-07,,,,
2020-09-08,105.97,29.25,0.276021515523261,
2020-09-09,106.23,29.29,0.275722488939094,-0.0010839324434011
2020-09-10,106.19,29.27,0.275638007345324,-0.000306447759679696
2020-09-11,106.17,29.3,0.275972496938872,0.00121277470949965
2020-09-14,105.68,29.23,0.276589704769114,0.00223398591154478
2020-09-15,105.5,29.23,0.277061611374408,0.0017047072979488
2020-09-16,104.94,29.21,0.278349533066514,0.00463773193405048
2020-09-17,104.77,29.14,0.278133053354968,-0.000778028738898762
2020-09-18,104.44,29.02,0.277862887782459,-0.000971825777071444
2020-09-21,104.69,28.99,0.276912790142325,-0.00342516302281326
2020-09-22,105.05,29.05,0.276534983341266,-0.00136528459538954
2020-09-23,105.34,29.15,0.276722992215683,0.000679642734347174
2020-09-24,105.42,29.31,0.278030734206033,0.00471468455448187
2020-09-25,105.59,29.25,0.277014868832276,-0.00366047943629755
2020-09-28,105.5,29.08,0.27563981042654,-0.00497620411024502
2020-09-29,105.68,29.03,0.274697199091597,-0.00342558192672882
2020-09-30,105.58,28.95,0.274199659026331,-0.00181287319893442
2020-10-01,105.53,28.86,0.273476736473041,-0.00263996396080834
2020-10-02,105.36,28.91,0.274392558845862,0.0033432179305033
2020-10-05,105.7,28.75,0.271996215704825,-0.00877162422606159
2020-10-06,105.64,28.79,0.272529344945097,0.00195814282798557
2020-10-07,105.97,28.66,0.270453902047749,-0.00764462998187199
2020-10-08,105.98,28.65,0.27033402528779,-0.000443341117148721
2020-10-09,105.72,28.62,0.270715096481271,0.00140863829608406
2020-10-12,,,,
2020-10-13,105.55,28.74,0.272288015158693,
2020-10-14,105.08,28.76,0.27369623144271,0.00515846167895773
2020-10-15,105.38,28.77,0.273011956728032,-0.00250325525319006
2020-10-16,105.41,28.75,0.272744521392657,-0.000980053806055148
2020-10-19,105.42,28.73,0.272528931891482,-0.000790757412124421
2020-10-20,105.56,28.7,0.271883289124668,-0.00237189043368535
2020-10-21,104.58,28.67,0.274144195830943,0.00828134000484204
2020-10-22,104.88,28.68,0.273455377574371,-0.00251577485931875
2020-10-23,104.78,28.65,0.273430043901508,-9.26470953004355e-05
2020-10-26,104.86,28.62,0.272935342361244,-0.00181088219675662
2020-10-27,104.44,28.56,0.273458445040214,0.00191474665653746
2020-10-28,104.33,28.57,0.273842614780025,0.00140387012234799
2020-10-29,104.69,28.59,0.273091985863024,-0.00274485975984673
2020-10-30,104.54,28.57,0.273292519609719,0.000734038954948835
2020-11-02,104.8,28.55,0.272423664122137,-0.00318427874282823
2020-11-03,104.5,28.61,0.27377990430622,0.00496607144207561
2020-11-04,104.39,28.6,0.273972602739726,0.000703596748446778
2020-11-05,103.67,28.54,0.275296614256776,0.0048210023080697
2020-11-06,103.32,28.59,0.2767131242741,0.00513220339291109
2020-11-09,105.58,28.58,0.270695207425649,-0.0219878250003296
2020-11-10,105.36,28.55,0.270975702353835,0.00103566556074264
2020-11-11,,,,
2020-11-12,105.16,28.5,0.271015595283378,
2020-11-13,104.61,28.51,0.272536086416213,0.00559466615598692
2020-11-16,104.54,28.52,0.272814233786111,0.001020068692408
2020-11-17,104.2,28.53,0.273800383877159,0.00360821364482278
2020-11-18,103.72,28.5,0.274778249132279,0.00356509069799915
2020-11-19,103.85,28.52,0.274626865671642,-0.000551081380167462
2020-11-20,103.81,28.52,0.274732684712455,0.000385245116967248
2020-11-23,104.42,28.52,0.273127753303965,-0.00585892277725208
2020-11-24,104.61,28.5,0.272440493260683,-0.00251942964475349
2020-11-25,104.39,28.48,0.272823067343615,0.00140326320463235
2020-11-26,,,,
2020-11-27,,,,
2020-11-30,104.38,28.55,0.273519831385323,
2020-12-01,104.4,28.54,0.273371647509579,-0.000541913286600249
2020-12-02,104.52,28.49,0.272579410639112,-0.0029022287427467
2020-12-03,103.77,28.39,0.273585814782693,0.00368535101028766
2020-12-04,104.16,28.21,0.270833333333333,-0.0101117123140468
2020-12-07,104.01,28.25,0.271608499182771,0.00285806267376199
2020-12-08,104.14,28.24,0.271173420395621,-0.00160314433711983
2020-12-09,104.28,28.19,0.270329881089375,-0.00311554882956799
2020-12-10,104.3,28.23,0.270661553211889,0.00122616419795096
2020-12-11,103.88,28.17,0.271178282633808,0.00190731483506257
2020-12-14,104.06,28.14,0.270420911012877,-0.00279679926964826
2020-12-15,103.69,28.12,0.271192979072235,0.00285099254819188
2020-12-16,103.59,28.15,0.271744376870354,0.00203116614341114
2020-12-17,103.13,28.13,0.272762532725686,0.00373973965809937
2020-12-18,103.35,28.14,0.272278664731495,-0.00177552861532204
2020-12-21,103.44,28.16,0.272235112142305,-0.000159968732226234
2020-12-22,103.62,28.18,0.271955220999807,-0.00102865174234767
2020-12-23,103.52,28.14,0.271831530139104,-0.0004549241502394
2020-12-24,,,,
2020-12-25,,,,
2020-12-28,103.84,28.11,0.270704930662558,
2020-12-29,103.5,28.1,0.271497584541063,0.00292383167161581
2020-12-30,103.31,28.1,0.271996902526377,0.00183743584406981
2020-12-31,103.19,28.08,0.272119391413897,0.000450230551641173
2021-01-01,,,,
2021-01-04,103.19,28.08,0.272119391413897,
2021-01-05,102.7,27.99,0.272541382667965,0.00154955656286204
2021-01-06,103.25,28,0.271186440677966,-0.00498390825878747
2021-01-07,103.84,28.02,0.269838212634823,-0.00498399038098096
2021-01-08,103.89,27.98,0.269323322745211,-0.00190996579818625
2021-01-11,104.16,28,0.268817204301075,-0.00188099043994994
2021-01-12,104.09,28,0.268997982515131,0.000672268932882192
2021-01-13,103.91,28.01,0.269560196323742,0.00208784875963497
2021-01-14,103.66,28.01,0.270210302913371,0.00240882710299495
2021-01-15,103.8,28.02,0.269942196531792,-0.000992706333384108
2021-01-18,,,,
2021-01-19,103.86,28.02,0.269786250722126,
2021-01-20,,,,
2021-01-21,103.57,27.97,0.270058897364102,
2021-01-22,103.76,27.96,0.26946800308404,-0.00219041725565994
2021-01-25,103.78,27.99,0.269705145500096,0.000879652230347583
2021-01-26,103.69,28.02,0.270228565917639,0.00193883275090556
2021-01-27,104.09,28,0.268997982515131,-0.00456426169084723
2021-01-28,104.31,28.03,0.268718243696673,-0.00104047015900965
2021-01-29,104.64,28.01,0.267679663608563,-0.00387242892568862
2021-02-01,104.97,27.99,0.266647613603887,-0.00386299308347282
2021-02-02,105.09,27.96,0.266057664858693,-0.00221491699155152
2021-02-03,105.05,27.94,0.265968586387435,-0.000334864950297886
2021-02-04,105.43,27.98,0.26538935786778,-0.00218018288932953
2021-02-05,105.44,27.95,0.26507966616085,-0.0011676148015658
2021-02-08,105.19,27.99,0.26608993250309,0.00380393592926831
2021-02-09,104.62,27.97,0.267348499330912,0.00471870449522394
2021-02-10,104.67,28,0.267507404222795,0.000594197037008248
2021-02-11,104.75,27.99,0.267207637231504,-0.00112122158329653
2021-02-12,104.94,27.99,0.26672384219554,-0.00181219945631872
2021-02-15,,,,
2021-02-16,105.88,27.99,0.264355874574991,
