"date","symbol","company","sector","adjusted","simple_return","log_return"
2019-04-03,"AAPL","Apple Inc.","Information Technology",47.483322,0.00685504112613313,0.0068316521590952
2019-04-04,"AAPL","Apple Inc.","Information Technology",47.565975,0.0017406743361385,0.00173916111832462
2019-04-05,"AAPL","Apple Inc.","Information Technology",47.884392,0.00669421787317503,0.00667191109233833
2019-04-08,"AAPL","Apple Inc.","Information Technology",48.637894,0.0157358581476821,0.0156133332169675
2019-04-09,"AAPL","Apple Inc.","Information Technology",48.492058,-0.00299840285025504,-0.00300290706597028
2019-04-10,"AAPL","Apple Inc.","Information Technology",48.76429,0.00561395022665366,0.00559825073810538
2019-04-11,"AAPL","Apple Inc.","Information Technology",48.358372,-0.00832408305339829,-0.00835892170064234
2019-04-12,"AAPL","Apple Inc.","Information Technology",48.338921,-0.000402226112988329,-0.00040230702760935
2019-04-15,"AAPL","Apple Inc.","Information Technology",48.426422,0.00181015625069503,0.00180851989228081
2019-04-16,"AAPL","Apple Inc.","Information Technology",48.431286,0.000100441036093845,0.000100435992230974
2019-04-17,"AAPL","Apple Inc.","Information Technology",49.374397,0.0194731769046976,0.0192860006369169
2019-04-18,"AAPL","Apple Inc.","Information Technology",49.55183,0.0035936236345327,0.00358718199705388
2019-04-22,"AAPL","Apple Inc.","Information Technology",49.714684,0.00328653855972617,0.00328114969578497
2019-04-23,"AAPL","Apple Inc.","Information Technology",50.431732,0.0144232637584501,0.0143202379536778
2019-04-24,"AAPL","Apple Inc.","Information Technology",50.353954,-0.00154224328444629,-0.00154343376578581
2019-04-25,"AAPL","Apple Inc.","Information Technology",49.896992,-0.00907499736763481,-0.00911642598980933
2019-04-26,"AAPL","Apple Inc.","Information Technology",49.658787,-0.00477393507007398,-0.00478536669516849
2019-04-29,"AAPL","Apple Inc.","Information Technology",49.734135,0.00151731454898416,0.00151616459034942
2019-04-30,"AAPL","Apple Inc.","Information Technology",48.776451,-0.0192560703026201,-0.0194438833611534
2019-05-01,"AAPL","Apple Inc.","Information Technology",51.170666,0.0490854695434892,0.0479188032576019
2019-05-02,"AAPL","Apple Inc.","Information Technology",50.837666,-0.00650763466709615,-0.00652890163689968
2019-05-03,"AAPL","Apple Inc.","Information Technology",51.469635,0.0124311175103908,0.0123544855957669
2019-05-06,"AAPL","Apple Inc.","Information Technology",50.674809,-0.0154426197116026,-0.0155630989158619
2019-05-07,"AAPL","Apple Inc.","Information Technology",49.308762,-0.0269571218314804,-0.0273271297624529
2019-05-08,"AAPL","Apple Inc.","Information Technology",49.318489,0.000197267171299049,0.000197247716688942
2019-05-09,"AAPL","Apple Inc.","Information Technology",48.788601,-0.0107442058900061,-0.0108023416602214
2019-05-10,"AAPL","Apple Inc.","Information Technology",48.112705,-0.0138535638683307,-0.0139504200602936
2019-05-13,"AAPL","Apple Inc.","Information Technology",45.316418,-0.0581195133385246,-0.0598768843639572
2019-05-14,"AAPL","Apple Inc.","Information Technology",46.033798,0.0158304656824376,0.0157064707470731
2019-05-15,"AAPL","Apple Inc.","Information Technology",46.585239,0.0119790463519869,0.011907865465135
2019-05-16,"AAPL","Apple Inc.","Information Technology",46.38028,-0.00439965543592043,-0.00440936240189815
2019-05-17,"AAPL","Apple Inc.","Information Technology",46.116756,-0.00568181132153572,-0.0056980142151537
2019-05-20,"AAPL","Apple Inc.","Information Technology",44.67469,-0.0312698924442995,-0.0317692326614596
2019-05-21,"AAPL","Apple Inc.","Information Technology",45.531147,0.0191709668270781,0.0189895191928531
2019-05-22,"AAPL","Apple Inc.","Information Technology",44.599049,-0.0204716564684829,-0.0206841052816249
2019-05-23,"AAPL","Apple Inc.","Information Technology",43.837757,-0.0170696913290684,-0.017217057919023
2019-05-24,"AAPL","Apple Inc.","Information Technology",43.669399,-0.00384047933839327,-0.00384787291515742
2019-05-28,"AAPL","Apple Inc.","Information Technology",43.488831,-0.00413488630791555,-0.00414345858873677
2019-05-29,"AAPL","Apple Inc.","Information Technology",43.281429,-0.00476908657305584,-0.00478049495257826
2019-05-30,"AAPL","Apple Inc.","Information Technology",43.505913,0.00518661248453688,0.00517320833810286
2019-05-31,"AAPL","Apple Inc.","Information Technology",42.717777,-0.0181156064923865,-0.0182817031101963
2019-06-03,"AAPL","Apple Inc.","Information Technology",42.285892,-0.0101101937022613,-0.0101616488185208
2019-06-04,"AAPL","Apple Inc.","Information Technology",43.832882,0.0365840692210064,0.0359307583561344
2019-06-05,"AAPL","Apple Inc.","Information Technology",44.540485,0.0161432004402539,0.0160142845396432
2019-06-06,"AAPL","Apple Inc.","Information Technology",45.19442,0.0146818113902443,0.0145750770316138
2019-06-07,"AAPL","Apple Inc.","Information Technology",46.397358,0.0266169584652264,0.026268890065904
2019-06-10,"AAPL","Apple Inc.","Information Technology",46.990299,0.0127796285297108,0.0126986581945361
2019-06-11,"AAPL","Apple Inc.","Information Technology",47.534416,0.0115793474734008,0.0115128199008416
2019-06-12,"AAPL","Apple Inc.","Information Technology",47.383133,-0.00318259931919642,-0.00318767455957447
2019-06-13,"AAPL","Apple Inc.","Information Technology",47.373379,-0.000205853842547746,-0.000205875033358449
2019-06-14,"AAPL","Apple Inc.","Information Technology",47.029327,-0.0072625598440001,-0.00728906061867507
2019-06-17,"AAPL","Apple Inc.","Information Technology",47.30994,0.00596676622652915,0.00594903557175108
2019-06-18,"AAPL","Apple Inc.","Information Technology",48.422592,0.0235183557620239,0.0232460602642264
2019-06-19,"AAPL","Apple Inc.","Information Technology",48.281071,-0.00292262339033822,-0.0029269025937797
2019-06-20,"AAPL","Apple Inc.","Information Technology",48.669037,0.00803557153899933,0.00800345825172455
2019-06-21,"AAPL","Apple Inc.","Information Technology",48.50312,-0.00340908738342204,-0.00341491156234008
2019-06-24,"AAPL","Apple Inc.","Information Technology",48.454319,-0.00100614146059067,-0.00100664796067873
2019-06-25,"AAPL","Apple Inc.","Information Technology",47.719864,-0.0151576787200331,-0.0152737305430213
2019-06-26,"AAPL","Apple Inc.","Information Technology",48.751999,0.0216290432009613,0.0213984544638084
2019-06-27,"AAPL","Apple Inc.","Information Technology",48.737362,-0.000300233842718951,-0.000300278921922192
2019-06-28,"AAPL","Apple Inc.","Information Technology",48.29327,-0.00911194167628518,-0.00915370933341242
2019-07-01,"AAPL","Apple Inc.","Information Technology",49.179012,0.0183408992598762,0.0181747336429483
2019-07-02,"AAPL","Apple Inc.","Information Technology",49.46693,0.00585448930938258,0.00583741838214813
2019-07-03,"AAPL","Apple Inc.","Information Technology",49.876858,0.0082869100629451,0.00825276214784321
2019-07-05,"AAPL","Apple Inc.","Information Technology",49.832935,-0.00088062884795188,-0.00088101682933095
2019-07-08,"AAPL","Apple Inc.","Information Technology",48.805679,-0.0206139975500139,-0.0208294317805335
2019-07-09,"AAPL","Apple Inc.","Information Technology",49.103367,0.00609945412295157,0.00608092774833358
2019-07-10,"AAPL","Apple Inc.","Information Technology",49.588932,0.00988862942942388,0.00984005688155776
2019-07-11,"AAPL","Apple Inc.","Information Technology",49.227802,-0.00728247182254304,-0.00730911846824744
2019-07-12,"AAPL","Apple Inc.","Information Technology",49.60601,0.00768281305754827,0.00765345054454869
2019-07-15,"AAPL","Apple Inc.","Information Technology",50.072063,0.0093950914415411,0.00935123206451083
2019-07-16,"AAPL","Apple Inc.","Information Technology",49.898823,-0.00345981350918175,-0.00346581250487521
2019-07-17,"AAPL","Apple Inc.","Information Technology",49.618221,-0.00562341921371576,-0.00563929016284215
2019-07-18,"AAPL","Apple Inc.","Information Technology",50.181862,0.0113595568047473,0.0112955215246489
2019-07-19,"AAPL","Apple Inc.","Information Technology",49.432774,-0.01492746522638,-0.0150400011572116
2019-07-22,"AAPL","Apple Inc.","Information Technology",50.562508,0.0228539470594954,0.0225967075291851
2019-07-23,"AAPL","Apple Inc.","Information Technology",50.957794,0.00781776884959897,0.00778736843419248
2019-07-24,"AAPL","Apple Inc.","Information Technology",50.916313,-0.000814026604055847,-0.000814358103623736
2019-07-25,"AAPL","Apple Inc.","Information Technology",50.51371,-0.00790715148600801,-0.00793857878488691
2019-07-26,"AAPL","Apple Inc.","Information Technology",50.689392,0.00347790728497263,0.00347187335169119
2019-07-29,"AAPL","Apple Inc.","Information Technology",51.162762,0.00933864032143062,0.00929530480750085
2019-07-30,"AAPL","Apple Inc.","Information Technology",50.943161,-0.00429220377117243,-0.0043014417213656
2019-07-31,"AAPL","Apple Inc.","Information Technology",51.982616,0.0204042108812211,0.0201988339736148
2019-08-01,"AAPL","Apple Inc.","Information Technology",50.857754,-0.0216391956880354,-0.0218767564173978
