observation_date,DEXTAUS
2020-09-28,29.0800
2020-09-29,29.0300
2020-09-30,28.9500
2020-10-01,28.8600
2020-10-02,28.9100
2020-10-05,28.7500
2020-10-06,28.7900
2020-10-07,28.6600
2020-10-08,28.6500
2020-10-09,28.6200
2020-10-12,
2020-10-13,28.7400
2020-10-14,28.7600
2020-10-15,28.7700
2020-10-16,28.7500
2020-10-19,28.7300
2020-10-20,28.7000
2020-10-21,28.6700
2020-10-22,28.6800
2020-10-23,28.6500
2020-10-26,28.6200
2020-10-27,28.5600
2020-10-28,28.5700
2020-10-29,28.5900
2020-10-30,28.5700
2020-11-02,28.5500
2020-11-03,28.6100
2020-11-04,28.6000
2020-11-05,28.5400
2020-11-06,28.5900
2020-11-09,28.5800
2020-11-10,28.5500
2020-11-11,
2020-11-12,28.5000
2020-11-13,28.5100
2020-11-16,28.5200
2020-11-17,28.5300
2020-11-18,28.5000
2020-11-19,28.5200
2020-11-20,28.5200
2020-11-23,28.5200
2020-11-24,28.5000
2020-11-25,28.4800
2020-11-26,
2020-11-27,
2020-11-30,28.5500
2020-12-01,28.5400
2020-12-02,28.4900
2020-12-03,28.3900
2020-12-04,28.2100
2020-12-07,28.2500
2020-12-08,28.2400
2020-12-09,28.1900
2020-12-10,28.2300
2020-12-11,28.1700
2020-12-14,28.1400
2020-12-15,28.1200
2020-12-16,28.1500
2020-12-17,28.1300
2020-12-18,28.1400
2020-12-21,28.1600
2020-12-22,28.1800
2020-12-23,28.1400
2020-12-24,
2020-12-25,
2020-12-28,28.1100
2020-12-29,28.1000
2020-12-30,28.1000
2020-12-31,28.0800
2021-01-01,
2021-01-04,28.0800
2021-01-05,27.9900
2021-01-06,28.0000
2021-01-07,28.0200
2021-01-08,27.9800
2021-01-11,28.0000
2021-01-12,28.0000
2021-01-13,28.0100
2021-01-14,28.0100
2021-01-15,28.0200
2021-01-18,
2021-01-19,28.0200
2021-01-20,
2021-01-21,27.9700
2021-01-22,27.9600
2021-01-25,27.9900
2021-01-26,28.0200
2021-01-27,28.0000
2021-01-28,28.0300
2021-01-29,28.0100
2021-02-01,27.9900
2021-02-02,27.9600
2021-02-03,27.9400
2021-02-04,27.9800
2021-02-05,27.9500
2021-02-08,27.9900
2021-02-09,27.9700
2021-02-10,28.0000
2021-02-11,27.9900
2021-02-12,27.9900
2021-02-15,
2021-02-16,27.9900
2021-02-17,28.0000
2021-02-18,27.9400
2021-02-19,27.9000
2021-02-22,27.9200
2021-02-23,27.8500
2021-02-24,27.8400
2021-02-25,27.8100
2021-02-26,27.8700
2021-03-01,27.8700
2021-03-02,27.8700
2021-03-03,27.7600
2021-03-04,27.8300
2021-03-05,27.8900
2021-03-08,28.2300
2021-03-09,28.2900
2021-03-10,28.3400
2021-03-11,28.2100
2021-03-12,28.2100
2021-03-15,28.2400
2021-03-16,28.2700
2021-03-17,28.3300
2021-03-18,28.3800
2021-03-19,28.4200
2021-03-22,28.4000
2021-03-23,28.4400
2021-03-24,28.4800
2021-03-25,28.5900
2021-03-26,28.5900
2021-03-29,28.5400
2021-03-30,28.5100
2021-03-31,28.4800
2021-04-01,28.5300
2021-04-02,28.5100
2021-04-05,28.4500
2021-04-06,28.4400
2021-04-07,28.4200
2021-04-08,28.4500
2021-04-09,28.4300
2021-04-12,28.4400
2021-04-13,28.4800
2021-04-14,28.4500
2021-04-15,28.3300
2021-04-16,28.3400
2021-04-19,28.1500
2021-04-20,28.1200
2021-04-21,28.0900
2021-04-22,28.0900
2021-04-23,28.0900
2021-04-26,27.8900
2021-04-27,27.8900
2021-04-28,27.9000
2021-04-29,27.8500
2021-04-30,27.9000
2021-05-03,27.9300
2021-05-04,27.9800
2021-05-05,27.9600
2021-05-06,27.9500
2021-05-07,27.8900
2021-05-10,27.7700
2021-05-11,27.9200
2021-05-12,27.9500
2021-05-13,27.9500
2021-05-14,27.9600
2021-05-17,28.0900
2021-05-18,27.9600
2021-05-19,27.9800
2021-05-20,27.9600
2021-05-21,27.9700
2021-05-24,27.9300
2021-05-25,27.9000
2021-05-26,27.7800
2021-05-27,27.8000
2021-05-28,27.7000
2021-05-31,
2021-06-01,27.5600
2021-06-02,27.6300
2021-06-03,27.6800
2021-06-04,27.6600
2021-06-07,27.7300
2021-06-08,27.7100
2021-06-09,27.7300
2021-06-10,27.6600
2021-06-11,27.6900
2021-06-14,27.6900
2021-06-15,27.6700
2021-06-16,27.6400
2021-06-17,27.7800
2021-06-18,27.8100
2021-06-21,27.9300
2021-06-22,28.0100
2021-06-23,27.9600
2021-06-24,27.9800
2021-06-25,27.9100
2021-06-28,27.8900
2021-06-29,27.9300
2021-06-30,27.9100
2021-07-01,27.9100
2021-07-02,27.9400
2021-07-05,
2021-07-06,28.0000
2021-07-07,28.0100
2021-07-08,28.0100
2021-07-09,27.9800
2021-07-12,28.0000
2021-07-13,28.0000
2021-07-14,27.9900
2021-07-15,27.8900
2021-07-16,27.9800
2021-07-19,28.0500
2021-07-20,28.0600
2021-07-21,28.0600
2021-07-22,28.0200
2021-07-23,28.0300
2021-07-26,28.0600
2021-07-27,28.0800
2021-07-28,28.0000
2021-07-29,27.9100
2021-07-30,27.9600
2021-08-02,27.9200
2021-08-03,27.9000
2021-08-04,27.7700
2021-08-05,27.7600
2021-08-06,27.8600
2021-08-09,27.8100
2021-08-10,27.8400
2021-08-11,27.8400
2021-08-12,27.7900
2021-08-13,27.8400
2021-08-16,27.8400
2021-08-17,27.8500
2021-08-18,27.8400
2021-08-19,27.9800
2021-08-20,28.0300
2021-08-23,27.9700
2021-08-24,27.9200
2021-08-25,27.9100
2021-08-26,27.9200
2021-08-27,27.8700
2021-08-30,27.7800
2021-08-31,27.6600
2021-09-01,27.7000
2021-09-02,27.6600
2021-09-03,27.6100
2021-09-06,
2021-09-07,27.6400
2021-09-08,27.7200
2021-09-09,27.6700
2021-09-10,27.6500
2021-09-13,27.6700
2021-09-14,27.6900
2021-09-15,27.6700
2021-09-16,27.7500
2021-09-17,27.7700
2021-09-20,27.8500
2021-09-21,27.7600
2021-09-22,27.7500
2021-09-23,27.7500
2021-09-24,27.7300
2021-09-27,27.7000
2021-09-28,27.7300
2021-09-29,27.8300
2021-09-30,27.8400
2021-10-01,27.8100
2021-10-04,27.9400
2021-10-05,27.9100
2021-10-06,27.9700
2021-10-07,27.9900
2021-10-08,28.0800
2021-10-11,
2021-10-12,28.1300
2021-10-13,28.0700
2021-10-14,28.0500
2021-10-15,27.9900
2021-10-18,27.9800
2021-10-19,27.8300
2021-10-20,27.8700
2021-10-21,27.8600
2021-10-22,27.8900
2021-10-25,27.8700
2021-10-26,27.7800
2021-10-27,27.8200
2021-10-28,27.7800
2021-10-29,27.8300
2021-11-01,27.8500
2021-11-02,27.8600
2021-11-03,27.8500
2021-11-04,27.8800
2021-11-05,27.8700
2021-11-08,27.8500
2021-11-09,27.7800
2021-11-10,27.7500
2021-11-11,
2021-11-12,27.8200
2021-11-15,27.8000
2021-11-16,27.7800
2021-11-17,27.8100
2021-11-18,27.8300
2021-11-19,27.7800
2021-11-22,27.8000
2021-11-23,27.7800
2021-11-24,27.7800
2021-11-25,
2021-11-26,27.8400
2021-11-29,27.7800
2021-11-30,27.6900
2021-12-01,27.6900
2021-12-02,27.7400
2021-12-03,27.7100
2021-12-06,27.7300
2021-12-07,27.7500
2021-12-08,27.7200
2021-12-09,27.7100
2021-12-10,27.7300
2021-12-13,27.7800
2021-12-14,27.8000
2021-12-15,27.8200
2021-12-16,27.8000
2021-12-17,27.8200
2021-12-20,27.8700
2021-12-21,27.8100
2021-12-22,27.8100
2021-12-23,27.7400
2021-12-24,
2021-12-27,27.6600
2021-12-28,27.6400
2021-12-29,27.6400
2021-12-30,27.7400
2021-12-31,
2022-01-03,27.6200
2022-01-04,27.5200
2022-01-05,27.6000
2022-01-06,27.6400
2022-01-07,27.6600
2022-01-10,27.6700
2022-01-11,27.6900
2022-01-12,27.6700
2022-01-13,27.6100
2022-01-14,27.5800
2022-01-17,
2022-01-18,27.5800
2022-01-19,27.6200
2022-01-20,27.6200
2022-01-21,27.7000
2022-01-24,27.7400
2022-01-25,27.7100
2022-01-26,27.7300
2022-01-27,27.8300
2022-01-28,27.8300
2022-01-31,27.8200
2022-02-01,27.8300
2022-02-02,27.8100
2022-02-03,27.8300
2022-02-04,27.8300
2022-02-07,27.8600
2022-02-08,27.7900
2022-02-09,27.8000
2022-02-10,27.8200
2022-02-11,27.8300
2022-02-14,27.8900
2022-02-15,27.8700
2022-02-16,27.8400
2022-02-17,27.8600
2022-02-18,27.8500
2022-02-21,
2022-02-22,27.8400
2022-02-23,27.8600
2022-02-24,28.1300
2022-02-25,27.9800
2022-02-28,28.0400
2022-03-01,28.0200
2022-03-02,28.0400
2022-03-03,28.0600
2022-03-04,28.1600
2022-03-07,28.2500
2022-03-08,28.3600
2022-03-09,28.4100
2022-03-10,28.2800
2022-03-11,28.4100
2022-03-14,28.4700
2022-03-15,28.5800
2022-03-16,28.5700
2022-03-17,28.3600
2022-03-18,28.3500
2022-03-21,28.4600
2022-03-22,28.5400
2022-03-23,28.5900
2022-03-24,28.6100
2022-03-25,28.6700
2022-03-28,28.7800
2022-03-29,28.7800
2022-03-30,28.5500
2022-03-31,28.6200
2022-04-01,28.6800
2022-04-04,28.6300
2022-04-05,28.6700
2022-04-06,28.6700
2022-04-07,28.8200
2022-04-08,28.9400
2022-04-11,29.0700
2022-04-12,29.1200
2022-04-13,29.0100
2022-04-14,28.9900
2022-04-15,29.1200
2022-04-18,29.2200
2022-04-19,29.2200
2022-04-20,29.2300
2022-04-21,29.2900
2022-04-22,29.3200
2022-04-25,29.3300
2022-04-26,29.2900
2022-04-27,29.3900
2022-04-28,29.5200
2022-04-29,29.4300
2022-05-02,29.4300
